total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,avg_return_per_trade,avg_holding_days,exposure_pct,ex_top1_ret,ex_top5_ret,top1_pct,top5_pct,top1_ticker,y1_ret,y2_ret,penny_pnl,normal_pnl,label
13.9504,6.0923,0.4947,25.8003,51.0,1.1944,800,2.2058,58.54,100.0,11.14,5.79,20.2,58.5,AVTX,0.37,13.97,29274,46095,no_trail_no_SL (baseline)
6.2892,2.8077,0.2903,23.2279,46.0542,1.0827,849,0.9476,44.68,100.0,3.47,-1.63,44.8,125.9,AVTX,-1.66,7.88,-13665,28656,trail_30%_TP35%
2.9884,1.3475,0.177,20.9686,41.5116,1.0411,860,0.4175,38.93,100.0,1.46,-2.45,51.0,181.8,TNDM,-4.72,7.61,-12876,14814,trail_25%_TP35%
3.293,1.478,0.1681,20.8572,35.7809,1.0493,858,0.4786,36.46,100.0,1.48,-4.22,55.0,228.1,TNDM,-3.83,7.06,-6679,-2415,trail_20%_TP75%
0.9297,0.4199,0.0894,24.0257,36.0294,1.013,816,0.028,46.82,100.0,-0.97,-7.33,204.7,888.1,AMLX,-5.74,6.15,15990,-69989,trail_25%_TPnone
-0.7907,-0.3616,0.0069,18.6502,37.4276,0.988,863,-0.1432,31.86,100.0,-2.32,-5.6,-192.8,-608.7,TNDM,-4.54,3.5,-31973,25361,trail_20%_TP35%
-8.7863,-4.1242,-0.4807,16.111,32.445,0.8504,863,-1.3756,24.5,100.0,-10.28,-13.8,-17.0,-57.1,TNDM,-5.8,-3.73,-65007,-24412,trail_15%_TP50%
-8.206,-3.8454,-0.5077,15.6929,33.0243,0.8584,863,-1.2969,22.78,100.0,-9.53,-12.69,-16.1,-54.7,TNDM,-5.84,-2.78,-72885,8392,trail_15%_TP35%
-11.666,-5.5496,-1.1694,13.5737,29.8957,0.7424,863,-1.825,13.56,100.0,-12.51,-14.66,-7.3,-25.7,CNSP,-3.61,-8.62,-99942,6951,trail_10%_TP35%
