ticker,company_name,exchange,market_cap,market_cap_category,sector,industry,sic,sic_description,cik,website,ir_url,data_quality_score,data_source,shares_outstanding,last_price,isin,cusip,country,currency
JANX,"Janux Therapeutics, Inc.",NASDAQ,849818234.32,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001817713,,,60,sec_fallback,60831656.0,13.97,,,US,USD
PHAT,"Phathom Pharmaceuticals, Inc.",NASDAQ,846298166.88,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001783183,,,60,sec_fallback,78798712.0,10.74,,,US,USD
TLRY,"Tilray Brands, Inc.",NASDAQ,822538826.9599999,small,,Medicinal Chemicals & Botanical Products,2833,Medicinal Chemicals & Botanical Products,0001731348,,,60,sec_fallback,116506916.0,7.06,,,US,USD
SDGR,"Schrodinger, Inc.",NASDAQ,820594427.48,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001490978,,,60,sec_fallback,62977316.0,13.03,,,US,USD
KALV,"KalVista Pharmaceuticals, Inc.",NASDAQ,819355409.5300001,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001348911,,,60,sec_fallback,50546293.0,16.21,,,US,USD
XNCR,Xencor Inc,NASDAQ,818459244.72,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001326732,,,60,sec_fallback,73338642.0,11.16,,,US,USD
MPLT,"MapLight Therapeutics, Inc.",NASDAQ,814899672.6800001,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001770069,,,60,sec_fallback,45373033.0,17.96,,,US,USD
OMER,OMEROS CORP,NASDAQ,814646273.91,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001285819,,,60,sec_fallback,70900459.0,11.49,,,US,USD
CTMX,"CytomX Therapeutics, Inc.",NASDAQ,808206834.15,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001501989,,,60,sec_fallback,169435395.0,4.77,,,US,USD
BBOT,"BridgeBio Oncology Therapeutics, Inc.",NASDAQ,791524619.47,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001869105,,,60,sec_fallback,80032823.0,9.89,,,US,USD
SLN,Silence Therapeutics plc,NASDAQ,779360164.0,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001479615,,,60,sec_fallback,141701848.0,5.5,,,US,USD
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,NASDAQ,770798987.12,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0000917520,,,60,sec_fallback,77937208.0,9.89,,,US,USD
GYRE,"GYRE THERAPEUTICS, INC.",NASDAQ,754288619.3100001,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001124105,,,60,sec_fallback,96333157.0,7.83,,,US,USD
SLS,"SELLAS Life Sciences Group, Inc.",NASDAQ,752095021.9200001,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001390478,,,60,sec_fallback,142442239.0,5.28,,,US,USD
KURA,"Kura Oncology, Inc.",NASDAQ,751686249.09,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001422143,,,60,sec_fallback,88329759.0,8.51,,,US,USD
BIOA,"BioAge Labs, Inc.",NASDAQ,730725654.06,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001709941,,,60,sec_fallback,35855037.0,20.38,,,US,USD
PRME,"Prime Medicine, Inc.",NASDAQ,709570063.47,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001894562,,,60,sec_fallback,180552179.0,3.93,,,US,USD
MDXG,"MIMEDX GROUP, INC.",NASDAQ,705691283.5,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001376339,,,60,sec_fallback,148566586.0,4.75,,,US,USD
LXRX,"LEXICON PHARMACEUTICALS, INC.",NASDAQ,694836202.04,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001062822,,,60,sec_fallback,423680611.0,1.64,,,US,USD
CMMB,Chemomab Therapeutics Ltd.,NASDAQ,690151962.6,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001534248,,,60,sec_fallback,377132220.0,1.83,,,US,USD
TBPH,"Theravance Biopharma, Inc.",NASDAQ,688131612.98,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001583107,,,60,sec_fallback,50672431.0,13.58,,,US,USD
NBP,NovaBridge Biosciences,NASDAQ,682327081.8000001,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001778016,,,60,sec_fallback,187452495.0,3.64,,,US,USD
CBLL,"Ceribell, Inc.",NASDAQ,673401586.8100001,small,,Electromedical & Electrotherapeutic Apparatus,3845,Electromedical & Electrotherapeutic Apparatus,0001861107,,,60,sec_fallback,37641229.0,17.89,,,US,USD
